contract_id,case_filed_yr,case_filed_month,jurisdiction,zip,assign_atty,case_type_x,settlement_offer,amount_billed,contract_dup,case_type_y,hours_worked
 PACP3403N83A,2012,3,Texas               ,76060,712,5233.0,0.0,21800.0,True,5233.0,189.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5233.0,0.0,21800.0,True,5132.0,804.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5233.0,0.0,21800.0,True,5122.0,804.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5121.0,0.0,26300.0,True,5121.0,3908.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5121.0,0.0,26300.0,True,5233.0,189.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5121.0,0.0,26300.0,True,5132.0,804.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5121.0,0.0,26300.0,True,5122.0,804.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5132.0,0.0,31200.0,True,5121.0,3908.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5132.0,0.0,31200.0,True,5233.0,189.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5132.0,0.0,31200.0,True,5132.0,804.0
 PACP3403N83A,2012,3,Texas               ,76060,712,5132.0,0.0,31200.0,True,5122.0,804.0
006D358574   ,2013,10,Pennsylvania        ,15206,620,5145.0,60000000.0,119500.0,False,,
 680 522M9441,2012,8,Montana             ,59715,712,5121.0,5408000.0,238700.0,False,5121.0,58.0
 680 0959M018,2012,3,Missouri            ,65807,712,5219.0,0.0,279000.0,False,5219.0,59.0
001B262523   ,2013,11,Texas               ,75652,612,5121.0,5179000.0,129800.0,False,,
 680 9981B063,2012,8,California          ,92501,612,5121.0,131074000.0,1664400.0,False,5121.0,140.0
005D363979   ,2013,9,Arkansas            ,71753,100,5223.0,1000.0,34000.0,False,,
008C021535   ,2013,2,South Carolina      ,29072,100,5122.0,700000.0,64500.0,False,,
008C021535   ,2013,2,South Carolina      ,29072,100,5119.0,0.0,53500.0,True,,
008C021535   ,2013,2,South Carolina      ,29072,100,5223.0,3000.0,79700.0,True,,
 680 5994X040,2012,2,California          ,92376,712,5219.0,0.0,212300.0,False,5219.0,28.0
007712C570   ,2013,10,South Carolina      ,29681,620,5121.0,146604000.0,2558600.0,False,,
 680 1758M57A,2012,3,Indiana             ,47807,712,5219.0,0.0,28000.0,False,5219.0,163.0
 680 8773L179,2012,8,Indiana             ,46240,994,5119.0,0.0,220000.0,False,5119.0,318.0
 680 1B85939A,2012,1,Oklahoma            ,73110,531,5119.0,0.0,79900.0,False,5119.0,41.0
 680 6132N439,2012,8,California          ,93449,562,5219.0,0.0,52700.0,False,5219.0,8.0
 680 418H3885,2012,8,California          ,90010,651,5119.0,0.0,27400.0,False,5119.0,32.0
 680 379M6199,2012,8,Missouri            ,64503,147,5121.0,2922000.0,111900.0,False,5121.0,82.0
 680 8260P582,2012,3,North Carolina      ,28638,599,5119.0,0.0,4100.0,False,5119.0,141.0
008D209263   ,2013,11,Alabama             ,35611,169,5122.0,500000.0,197100.0,False,,
005747X551   ,2013,3,South Carolina      ,29210,600,5223.0,224000.0,304000.0,False,,
 680 1931M450,2012,6,Idaho               ,83501,712,5119.0,0.0,38300.0,False,5119.0,46.0
001B212280   ,2013,11,Kansas              ,66502,592,5122.0,4110000.0,221800.0,False,,
 680 6766X11A,2012,3,California          ,90035,712,5122.0,416000.0,30000.0,False,5122.0,193.0
 680 8699M850,2012,2,Georgia             ,30341,599,5119.0,0.0,22100.0,False,5119.0,51.0
 680 8405M458,2012,8,Georgia             ,30062,994,5119.0,0.0,903800.0,False,5119.0,361.0
009B708009   ,2013,6,North Carolina      ,28205,94,5121.0,10771000.0,452900.0,False,,
009B708009   ,2013,6,North Carolina      ,28205,94,5122.0,9320000.0,544700.0,True,,
 680 3882C788,2012,4,Connecticut         ,6514,651,5119.0,0.0,171500.0,False,5119.0,10.0
 680 5190P047,2012,1,Ohio                ,44905,712,5121.0,4522000.0,34200.0,False,5121.0,118.0
006081A570   ,2013,6,New York            ,11374,612,5223.0,10000000.0,782100.0,False,,
005029L392   ,2013,7,New Jersey          ,8009,612,5121.0,13113000.0,344400.0,False,,
 PACP3996X037,2012,2,Texas               ,78205,43,5233.0,0.0,16300.0,False,5233.0,16.0
 680 2A044429,2012,5,California          ,91403,416,5119.0,0.0,6200.0,False,5119.0,28.0
 680 884J1098,2012,8,California          ,95207,651,5119.0,0.0,6300.0,False,5102.0,588.0
 680 884J1098,2012,8,California          ,95207,651,5119.0,0.0,6300.0,False,5119.0,98.0
 680 6B90329A,2012,4,California          ,94104,651,5119.0,0.0,7900.0,False,5102.0,30.0
