"contract_id","case_filed_yr","case_filed_month","jurisdiction","zip","assign_atty","case_type","hours_worked"
" 680 8705R153","2013","11","Michigan            ","48201","620","05121",109
" 680 2325M380","2012","08","California          ","92274","612","05121",25
" 680 5473N341","2012","05","Arizona             ","85210","651","05119",92
" 680 3151P689","2012","08","Ohio                ","44512","651","05102",2
" 680 1A809132","2012","08","New Hampshire       ","03275","742","05122",10
" 680 2749B58A","2013","07","Montana             ","59840","639","05122",4
" 680 7253N708","2013","08","Connecticut         ","06040","620","05121",371
" 680 4205N822","2012","08","California          ","94609","651","05119",7
" 680 3B40070A","2012","08","Michigan            ","48224","553","05119",158
" 680 6242C397","2012","08","Missouri            ","65616","544","05102",15
" 680 2549N36A","2013","03","Colorado            ","80907","612","05121",77
" 680 92K65206","2013","08","New York            ","10312","612","05121",89
" 680 1C542448","2012","07","Kansas              ","66062","665","05122",7
" 680 7D429876","2012","08","Alabama             ","35217","090","05106",26
